V_B2_A,V_B2_B,V_B2_C,I_B2_A,I_B2_B,I_B2_C,V_B3_A,V_B3_B,V_B3_C,I_B3_A,I_B3_B,I_B3_C,V_B4_A,V_B4_B,V_B4_C,I_B4_A,I_B4_B,I_B4_C,V_B5_A,V_B5_B,V_B5_C,I_B5_A,I_B5_B,I_B5_C,class,label,scenario
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=1
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=2
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=3
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=4
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=5
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=6
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=7
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=8
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=9
10720.0373511036,10720.0373511271,10720.0373510851,86.5518149760043,86.5518149765559,86.5518149765454,10635.5600795076,10635.5600795311,10635.5600794878,114.567731033349,114.56773103406,114.567731034059,10596.1082453616,10596.1082453841,10596.1082453429,142.734493570174,142.734493571044,142.734493571024,10853.5233692182,10853.5233691998,10853.5233692293,96.5298651944051,96.5298651939198,96.5298651940267,0,Healthy,Healthy LM=0.82 rep=10
