V_B2_A,V_B2_B,V_B2_C,V_B3_A,V_B3_B,V_B3_C,V_B4_A,V_B4_B,V_B4_C,V_B5_A,V_B5_B,V_B5_C,I_B2_A,I_B2_B,I_B2_C,I_B3_A,I_B3_B,I_B3_C,I_B4_A,I_B4_B,I_B4_C,I_B5_A,I_B5_B,I_B5_C,class_label,class_name
10854.8765729582,10854.8765729534,10854.8765729595,10841.373668332,10841.3736683297,10841.3736683312,10839.8834434636,10839.8834434612,10839.8834434646,10862.6466453148,10862.646645313,10862.6466453147,65.0563168707687,65.0563168707103,65.0563168707255,86.6731161686108,86.6731161685675,86.6731161685775,108.356069237332,108.356069237277,108.356069237314,71.6839536411877,71.6839536411866,71.6839536411837,0,Healthy
10851.3497688839,10851.3497688836,10851.3497688878,10837.5293578814,10837.5293578817,10837.5293578847,10836.0046177493,10836.0046177511,10836.0046177536,10859.317594345,10859.3175943448,10859.3175943466,66.5860331765992,66.5860331765678,66.5860331765864,88.7084852843678,88.7084852843149,88.7084852843795,110.900263647208,110.900263647189,110.900263647247,73.3708625070547,73.3708625070571,73.3708625070596,0,Healthy
10852.8177685833,10852.8177685837,10852.8177685848,10839.1294487886,10839.1294487897,10839.1294487899,10837.6190676383,10837.6190676394,10837.6190676384,10860.7032832782,10860.7032832824,10860.7032832813,65.9496105503893,65.9496105503997,65.9496105504112,87.8617059307409,87.8617059307226,87.8617059307434,109.841798545213,109.841798545265,109.841798545241,72.6690336312265,72.6690336312172,72.6690336312481,0,Healthy
10838.5877002204,10838.587700218,10838.5877002167,10823.6230018026,10823.6230017999,10823.6230017986,10821.9738896434,10821.9738896399,10821.9738896405,10847.2709595391,10847.2709595385,10847.2709595405,72.1004322754561,72.1004322754524,72.1004322754199,96.0446689585078,96.0446689585057,96.0446689584338,120.070293474481,120.070293474506,120.070293474453,79.4524603428662,79.4524603428501,79.4524603428617,0,Healthy
10836.0891304865,10836.089130483,10836.0891304846,10820.9012458884,10820.9012458882,10820.9012458869,10819.2278794616,10819.2278794592,10819.2278794603,10844.912428357,10844.9124283549,10844.9124283563,73.1762245910137,73.176224591015,73.1762245909787,97.4756831671643,97.475683167182,97.475683167133,121.858996936163,121.858996936151,121.858996936115,80.6390059169603,80.6390059169647,80.6390059169603,0,Healthy
10839.174365002,10839.1743650065,10839.1743650062,10824.2621105733,10824.2621105757,10824.2621105768,10822.6186978244,10822.6186978269,10822.6186978292,10847.8247417854,10847.8247417888,10847.8247417874,71.8476555809661,71.8476555809247,71.8476555809864,95.7084176884381,95.7084176883916,95.7084176884434,119.649993289705,119.649993289649,119.649993289727,79.173664929173,79.1736649291754,79.1736649291978,0,Healthy
10833.3140120047,10833.3140120047,10833.3140120065,10817.8785594075,10817.8785594086,10817.8785594108,10816.1782904976,10816.1782904979,10816.1782905004,10842.2928363159,10842.2928363161,10842.2928363165,74.369634050441,74.3696340504326,74.3696340504599,99.0630799651728,99.0630799651156,99.0630799651763,123.843161916982,123.843161916978,123.843161917028,81.9553156343288,81.9553156342995,81.9553156343343,0,Healthy
10837.6722616819,10837.6722616767,10837.6722616788,10822.6257593337,10822.6257593305,10822.6257593323,10820.9677571697,10820.9677571638,10820.9677571681,10846.4068301953,10846.4068301951,10846.4068301935,72.4947308072249,72.4947308072321,72.4947308071867,96.5691701977426,96.5691701977213,96.5691701976937,120.725897412441,120.725897412391,120.725897412322,79.8873482753966,79.8873482754048,79.8873482754421,0,Healthy
10834.9680222111,10834.9680222131,10834.9680222111,10819.6800830643,10819.6800830644,10819.6800830624,10817.995843826,10817.9958438266,10817.9958438258,10843.8541520718,10843.8541520715,10843.8541520707,73.6585289759511,73.6585289759458,73.6585289759322,98.1172225816244,98.1172225816101,98.1172225816031,122.660889685823,122.660889685808,122.66088968582,81.1709743491433,81.1709743491438,81.170974349136,0,Healthy
10837.3178453549,10837.317845351,10837.3178453582,10822.2396821324,10822.2396821282,10822.2396821336,10820.5782392836,10820.5782392793,10820.5782392856,10846.0722781091,10846.0722781088,10846.0722781114,72.6473404841582,72.6473404840982,72.6473404840929,96.7721714580012,96.7721714579156,96.7721714579177,120.979639943934,120.979639943801,120.979639943797,80.0556688910404,80.0556688910277,80.0556688910409,0,Healthy
